2021-01-30 16:20:03,088 - model.gcnn_supervisor - INFO - Log directory: results\GCNN_DDGF_h_1_60_lr_0.01_bs_100_0130162003/
2021-01-30 16:20:03,097 - model.gcnn_supervisor - INFO - {'base_dir': 'results', 'log_level': 'INFO', 'data': {'batch_size': 100, 'pattern': 'CM0.1', 'dataset_dir': '../data/Metr_data', 'test_batch_size': 100, 'val_batch_size': 100}, 'model': {'cl_decay_steps': 2000, 'horizon': 1, 'input_dim': 1, 'l1_decay': 0, 'num_nodes': 207, 'num_rnn_layers': 1, 'output_dim': 1, 'rnn_units': 60, 'seq_len': 3, 'use_curriculum_learning': True}, 'train': {'base_lr': 0.01, 'dropout': 0, 'epoch': 0, 'epochs': 200, 'epsilon': 0.001, 'global_step': 0, 'lr_decay_ratio': 0.1, 'max_grad_norm': 5, 'max_to_keep': 100, 'min_learning_rate': 2e-06, 'optimizer': 'adam', 'patience': 10, 'steps': [20], 'test_every_n_epochs': 1, 'preds_file': 'GCNN_Metr.csv', 'groundtruth_file': 'y_truth_GCNN_Metr.csv'}}
2021-01-30 16:20:03,584 - model.gcnn_supervisor - INFO - ('x_train', (12383, 3, 207, 1))
2021-01-30 16:20:03,591 - model.gcnn_supervisor - INFO - ('y_train', (12383, 1, 207, 1))
2021-01-30 16:20:03,592 - model.gcnn_supervisor - INFO - ('x_val', (2881, 3, 207, 1))
2021-01-30 16:20:03,593 - model.gcnn_supervisor - INFO - ('y_val', (12383, 1, 207, 1))
2021-01-30 16:20:03,594 - model.gcnn_supervisor - INFO - ('x_test', (1440, 3, 207, 1))
2021-01-30 16:20:03,595 - model.gcnn_supervisor - INFO - ('y_test', (1440, 1, 207, 1))
2021-01-30 16:20:03,600 - model.gcnn_supervisor - INFO - ('y_test_groundtruth', (1440, 1, 207, 1))
2021-01-30 16:20:05,606 - model.gcnn_supervisor - INFO - Total number of trainable parameters: 193776
2021-01-30 16:20:05,749 - model.gcnn_supervisor - INFO - Start training ...
2021-01-30 16:20:45,423 - model.gcnn_supervisor - INFO - Epoch [0/200] (124) train_mae: 67.7371, val_mae: 180.4680 lr:0.010000 39.6s
2021-01-30 16:20:47,766 - model.gcnn_supervisor - INFO - Val loss decrease from inf to 180.4680, saving to results\GCNN_DDGF_h_1_60_lr_0.01_bs_100_0130162003/models-180.4680-124
2021-01-30 16:20:47,792 - model.gcnn_supervisor - INFO - Overall Test MAPE 12.9110, RMSE 7.6026
2021-01-30 16:21:29,956 - model.gcnn_supervisor - INFO - Epoch [1/200] (248) train_mae: 26.9417, val_mae: 238.3399 lr:0.010000 42.2s
2021-01-30 16:22:14,924 - model.gcnn_supervisor - INFO - Epoch [2/200] (372) train_mae: 23.0733, val_mae: 259.4917 lr:0.010000 42.6s
2021-01-30 16:23:00,343 - model.gcnn_supervisor - INFO - Epoch [3/200] (496) train_mae: 21.0226, val_mae: 255.3850 lr:0.010000 43.2s
2021-01-30 16:23:45,477 - model.gcnn_supervisor - INFO - Epoch [4/200] (620) train_mae: 20.7264, val_mae: 242.2087 lr:0.010000 42.7s
2021-01-30 16:24:30,454 - model.gcnn_supervisor - INFO - Epoch [5/200] (744) train_mae: 20.0056, val_mae: 247.4561 lr:0.010000 42.7s
2021-01-30 16:25:15,503 - model.gcnn_supervisor - INFO - Epoch [6/200] (868) train_mae: 19.5487, val_mae: 258.5038 lr:0.010000 42.7s
2021-01-30 16:26:00,536 - model.gcnn_supervisor - INFO - Epoch [7/200] (992) train_mae: 19.1496, val_mae: 252.3833 lr:0.010000 42.8s
